,0,1,2,3,4,5,6,7,8
0,1,2,-2138.805060574894,2000,"{'Intercept': 1.00001185784188, 'col0': 1.0000031999662458, 'col1': 0.9999983383394138}",0.479,0.8847580119661157,0.0,0.0004110574452779776
1,1,2,-3988.7725627776927,4000,"{'Intercept': 1.000024093720377, 'col0': 0.9999983325259897, 'col1': 1.000000759605144}",0.4925,0.8837509626206979,0.000984251968503937,0.004262228536634869
2,1,4,-2561.064663825565,2000,"{'Intercept': 1.000036441090446, 'col0': 0.9999988318187262, 'col1': 0.9999994419287964, 'col2': 1.0000006509309984, 'col3': 0.9999998086731273}",0.561,0.8864996149517209,0.2942122186495177,0.4328676296471702
3,1,4,-4435.580704422008,4000,"{'Intercept': 1.0000202190242833, 'col0': 1.0000147452821302, 'col1': 1.0000163266093232, 'col2': 0.9999984987939997, 'col3': 0.9999985440898053}",0.58975,0.8966174989633315,0.35571260306242636,0.5522372742200328
4,1,6,-2500.302198686211,2000,"{'Intercept': 0.9999999096729656, 'col0': 1.0000184924532851, 'col1': 1.00002082589865, 'col2': 1.0000052137669067, 'col3': 1.0000407564076073, 'col4': 1.000196765190102, 'col5': 1.0000191437329147}",0.5735,0.8932290741069842,0.3256916996047431,0.4839670178653229
5,1,6,-4057.75458404743,4000,"{'Intercept': 1.0000361654208674, 'col0': 1.000005869172892, 'col1': 1.0000102791501908, 'col2': 1.000017259208298, 'col3': 1.0000540997985394, 'col4': 0.9999983772109532, 'col5': 1.0000038005792071}",0.6155,0.9142349386884663,0.4070932922127987,0.6521216781200443
6,1,8,-2504.1242869722846,2000,"{'Intercept': 1.0000151424449777, 'col0': 0.9999997012681643, 'col1': 1.000007166245067, 'col2': 1.00001638647776, 'col3': 1.0000059786554019, 'col4': 1.0000186729953326, 'col5': 1.0000359841179138, 'col6': 1.0000006578047136, 'col7': 1.000034054551695}",0.5685,0.8933238552218471,0.31235059760956174,0.4839523154516277
7,1,8,-4058.132167109225,4000,"{'Intercept': 1.0000132341578662, 'col0': 1.000004156976176, 'col1': 0.9999988679414981, 'col2': 1.000012562013453, 'col3': 1.0000700154518505, 'col4': 1.0000016411287003, 'col5': 1.0000431295017, 'col6': 0.9999987684978736, 'col7': 1.000016665260348}",0.6145,0.9136188614418577,0.4046332046332047,0.6510648480497726
8,1,10,-2356.7848610938995,2000,"{'Intercept': 1.0000034685876986, 'col0': 1.0000197434999236, 'col1': 0.9999984492713389, 'col2': 1.0000180051379066, 'col3': 1.0000006406171458, 'col4': 1.0000012823132556, 'col5': 1.000006496345998, 'col6': 0.9999988137834871, 'col7': 1.0000097280317133, 'col8': 1.0000057480448128, 'col9': 0.9999983738832523}",0.5985,0.9012854688703276,0.3865546218487395,0.5465331446609338
9,1,10,-3741.153157938889,4000,"{'Intercept': 1.0000319700241826, 'col0': 1.0000182753900033, 'col1': 1.0000254456863362, 'col2': 1.0000026511588216, 'col3': 0.9999989566189946, 'col4': 1.0000086869987035, 'col5': 1.0000107448966193, 'col6': 0.9999992904916306, 'col7': 1.000016598636765, 'col8': 1.0000072950569725, 'col9': 0.9999988105242228}",0.654,0.9234524021088798,0.4922964049889948,0.6999210440759834
