,0,1,2,3,4,5,6,7,8
0,1,2,-1106.0504639032943,1000,"{'Intercept': 0.9999993396845058, 'col0': 0.9999983487702103, 'col1': 1.000002273922783}",0.484,0.8847224690480422,0.0,0.00041093075816724887
1,1,4,-1199.5209191414187,1000,"{'Intercept': 0.9999984253469122, 'col0': 1.0000065306871917, 'col1': 1.0000014415015117, 'col2': 1.0000042389840043, 'col3': 1.0000124240998316}",0.571,0.8866062437059415,0.30016313213703105,0.44454761766583484
2,1,6,-1223.765112177813,1000,"{'Intercept': 0.9999983320563273, 'col0': 1.0000101162786692, 'col1': 0.9999990019959568, 'col2': 0.9999985356801377, 'col3': 0.9999983437690068, 'col4': 1.0000007732728398, 'col5': 1.000007983922794}",0.569,0.8892719625614597,0.28995057660626034,0.4496525733129196
3,1,8,-1232.568919172879,1000,"{'Intercept': 1.0000045505788158, 'col0': 1.0000026145861287, 'col1': 1.0000024667440561, 'col2': 0.9999985677880391, 'col3': 0.9999983460936182, 'col4': 1.0000212494982723, 'col5': 1.000010747625871, 'col6': 1.0000233109462984, 'col7': 1.0000034978044363}",0.57,0.8889165333807239,0.2973856209150327,0.44684365781710916
4,1,10,-1207.0762710527695,1000,"{'Intercept': 1.000002319623206, 'col0': 0.9999994601048251, 'col1': 1.0000316712931832, 'col2': 1.0000337696156865, 'col3': 1.0000136338637053, 'col4': 1.000016389117252, 'col5': 0.9999987955562621, 'col6': 1.0000041205416221, 'col7': 1.0000208734091924, 'col8': 1.000012472959742, 'col9': 1.0000036510043289}",0.582,0.8925537586635863,0.3301282051282051,0.4808517946075906
5,1,12,-1671.6732845285833,1000,"{'Intercept': 1.0000005303672117, 'col0': 1.0000129031057652, 'col1': 1.0000249931138858, 'col2': 0.9999993739791808, 'col3': 0.9999999081413862, 'col4': 0.9999991876345187, 'col5': 1.0000574791497965, 'col6': 1.0000023080288247, 'col7': 1.0000240914332101, 'col8': 1.0000066749501308, 'col9': 1.0000031713423723, 'col10': 1.000034680907364, 'col11': 0.9999998918063702}",0.535,0.8689295657840176,0.22110552763819097,0.3162968914158581
6,2,2,-930.5430744411349,1000,"{'Intercept': 1.0000024366312645, 'col0': 1.0000007841275522, 'col1': 1.0000082016330964, 'col2': 1.000023778983856, 'col3': 1.0000274970488738}",0.652,0.8917244239085362,0.5028571428571429,0.5185185185185186
7,2,4,-1179.9951257581104,1000,"{'Intercept': 0.9999996775137139, 'col0': 1.000052034234153, 'col1': 1.0000080889427632, 'col2': 1.0000027645304899, 'col3': 1.0000282522419366, 'col4': 0.9999983946794246, 'col5': 1.0001097904799985, 'col6': 0.9999983667316593, 'col7': 1.000109958140294}",0.728,0.9283336295243173,0.6458333333333334,0.6845700578818377
8,2,6,-1151.1420049577744,1000,"{'Intercept': 1.0000052672377744, 'col0': 1.0000035329187167, 'col1': 1.0000487702549066, 'col2': 0.9999983895066985, 'col3': 0.9999987828775248, 'col4': 1.0000033322439181, 'col5': 1.0000006006250755, 'col6': 1.000018696925183, 'col7': 0.9999984746948962, 'col8': 0.9999983859020298, 'col9': 1.0000569291935557, 'col10': 1.0000805544801783, 'col11': 1.000021601281815}",0.736,0.9302410994609324,0.6589147286821706,0.6969322627136092
9,2,8,-1122.08693387985,1000,"{'Intercept': 1.0000029894221996, 'col0': 0.9999986106091558, 'col1': 1.0000127121031008, 'col2': 1.0000099013282178, 'col3': 1.000022953282145, 'col4': 1.0000091503601405, 'col5': 1.0000044695219326, 'col6': 0.9999988847238462, 'col7': 1.0000198034435492, 'col8': 1.0000007091911194, 'col9': 1.0000060286978083, 'col10': 0.9999993195496916, 'col11': 1.000036009505653, 'col12': 1.0000018869649605, 'col13': 1.000064727449437, 'col14': 1.0000097348106791, 'col15': 1.000040162101322}",0.745,0.9296368698536817,0.6751592356687898,0.6980834731330385
10,2,10,-989.5136736301752,1000,"{'Intercept': 1.0000343958211049, 'col0': 1.0000044791908935, 'col1': 1.00000377352881, 'col2': 1.0000033298051976, 'col3': 1.00000863968367, 'col4': 1.0000014919994937, 'col5': 1.0000140857524547, 'col6': 1.0000539139503681, 'col7': 0.9999983306314166, 'col8': 1.0000030690466724, 'col9': 1.000020073598889, 'col10': 1.000025666714338, 'col11': 1.0000073967820462, 'col12': 1.0000013487049024, 'col13': 1.0000012794228352, 'col14': 1.0000098045052201, 'col15': 1.0000065730055328, 'col16': 0.9999989955762894, 'col17': 0.999998547511805, 'col18': 1.0000029452654087, 'col19': 1.000007423277134}",0.767,0.931188910609561,0.711276332094176,0.7229536348025185
11,2,12,-972.705287134762,1000,"{'Intercept': 0.9999992805040525, 'col0': 1.0000022657124346, 'col1': 0.9999983382641572, 'col2': 1.0000181280443745, 'col3': 0.9999983771598602, 'col4': 0.9999995557300382, 'col5': 1.0000466350580057, 'col6': 1.0000381515884116, 'col7': 1.0000102505411694, 'col8': 1.0000048753919708, 'col9': 1.0000021524104075, 'col10': 1.0000488412086475, 'col11': 1.0000599536232389, 'col12': 1.0000192796028442, 'col13': 1.0000690849002343, 'col14': 1.000007877627213, 'col15': 1.0000374479064047, 'col16': 0.999999963972886, 'col17': 1.000003016446635, 'col18': 1.0000133538377858, 'col19': 1.0000055092620914, 'col20': 0.9999984090605557, 'col21': 1.0000162661310528, 'col22': 1.0000123238368914, 'col23': 1.000001807258954}",0.766,0.9289615544102837,0.7103960396039604,0.7210643840714552
