,0,1,2,3,4,5,6,7,8,9
0,1,2,-251.94840695907348,1000,False,"{'Intercept': 1.0002188919831936, 'col0': 0.999995227244093, 'col1': 1.000050618428703}",0.925,0.6205663533075725,0.9310027598896043,0.637899719302108
1,1,4,-149.51048353503813,1000,False,"{'Intercept': 1.0001615006309799, 'col0': 0.9999915734551889, 'col1': 1.000043368451944, 'col2': 1.0000879272019871, 'col3': 1.0000551472729442}",0.957,0.6226425976123191,0.9603686635944699,0.6426738026322975
2,1,6,-146.14680012548493,1000,False,"{'Intercept': 1.0006785380196057, 'col0': 1.0010366708685983, 'col1': 1.0000275875135185, 'col2': 1.0002477775317533, 'col3': 1.0015501400391085, 'col4': 1.0013330646084326, 'col5': 0.9999901979473904}",0.963,0.619874271872657,0.965961361545538,0.6348274142611778
3,1,8,-153.8750810079482,1000,False,"{'Intercept': 1.0001295655556244, 'col0': 0.9999910663707361, 'col1': 1.0003451856721082, 'col2': 1.0004372841432654, 'col3': 0.9999915872270017, 'col4': 0.9999905734212718, 'col5': 0.9999901013597818, 'col6': 0.9999936278506159, 'col7': 1.0001540222608483}",0.964,0.620335659495934,0.9668508287292819,0.6353110630989973
4,1,10,-133.16316068746391,1000,False,"{'Intercept': 1.0000607260175796, 'col0': 1.0000763232035725, 'col1': 1.0010299898228534, 'col2': 1.0011634050895795, 'col3': 1.0001254226635514, 'col4': 1.0004143142256823, 'col5': 1.0000166030905042, 'col6': 1.0000339882360894, 'col7': 0.9999911836542152, 'col8': 1.0001671835816357, 'col9': 1.0001746769458129}",0.974,0.637753042274641,0.9761904761904762,0.6472339230553215
5,1,12,-130.33127201631018,1000,False,"{'Intercept': 1.0000757948726335, 'col0': 1.0009557403931808, 'col1': 1.0008347750449014, 'col2': 1.000424399180352, 'col3': 1.000441256928239, 'col4': 1.000092674216204, 'col5': 1.0001909488167593, 'col6': 1.0000898203885509, 'col7': 1.0000879717946638, 'col8': 1.0004882731734959, 'col9': 1.0000224087519909, 'col10': 1.0000838467585573, 'col11': 1.0000207445477065}",0.977,0.6452505911528923,0.9789569990850869,0.6530543177844209
6,2,2,-200.96834882737247,1000,False,"{'Intercept': 1.0000179706292724, 'col0': 1.0000063039933953, 'col1': 1.0000411073419706, 'col2': 1.000431897323825, 'col3': 1.0000764395725983}",0.935,0.6334852067593287,0.9407474931631723,0.6625962304220865
7,2,4,-122.70960087124811,1000,False,"{'Intercept': 1.00000083374673, 'col0': 1.0004318241426133, 'col1': 1.0000065653718269, 'col2': 1.0001368275629703, 'col3': 1.0004078482963823, 'col4': 0.999993631959575, 'col5': 1.0023991250367605, 'col6': 1.0022232155824573, 'col7': 1.0003242281597502}",0.973,0.6518830382374993,0.9752520623281393,0.6738707585908795
8,2,6,-125.59022415539359,1000,False,"{'Intercept': 1.0004372345945476, 'col0': 1.0019841342063633, 'col1': 1.0006169607856341, 'col2': 1.0006515204689228, 'col3': 1.0019600504704536, 'col4': 1.0013502170539201, 'col5': 1.0000446367843845, 'col6': 1.0000619593200433, 'col7': 1.0002691278751288, 'col8': 1.0000843439530607, 'col9': 1.0007004057007451, 'col10': 1.0000891268918202, 'col11': 0.9999928364114405}",0.975,0.6536132418247881,0.9770852428964254,0.6708680403331871
9,2,8,-140.02828391472784,1000,False,"{'Intercept': 0.9999899033419636, 'col0': 1.0008689621723865, 'col1': 1.0003622737648652, 'col2': 1.0004941560781102, 'col3': 1.0010902112813624, 'col4': 1.0008635644247774, 'col5': 1.000007817931011, 'col6': 0.9999964747331745, 'col7': 0.9999901031518392, 'col8': 0.9999913679571779, 'col9': 1.0007659656300552, 'col10': 1.0001024876765947, 'col11': 1.0003449781394826, 'col12': 0.9999912983052597, 'col13': 1.0002779107387856, 'col14': 1.0002542887326242, 'col15': 1.0001170256593972}",0.975,0.6532095276544206,0.9770431588613406,0.6699961582789089
10,2,10,-143.44082466451695,1000,False,"{'Intercept': 0.9999925971877663, 'col0': 1.000138217701927, 'col1': 1.0000591521180326, 'col2': 0.9999916929493554, 'col3': 1.0000454289288259, 'col4': 1.000040829965337, 'col5': 1.0000021712879295, 'col6': 1.0000255849479547, 'col7': 0.9999925528650665, 'col8': 1.000214857447929, 'col9': 1.000064815844028, 'col10': 1.000319817066629, 'col11': 1.0000118716586686, 'col12': 1.0003944194461403, 'col13': 1.0000213049460744, 'col14': 1.0000267758356245, 'col15': 1.0001734997903113, 'col16': 1.000192627643204, 'col17': 1.0002045849706271, 'col18': 1.0015322309565344, 'col19': 1.0000354866164876}",0.98,0.6682622988638329,0.981651376146789,0.683990770245028
11,2,12,-152.15421952403565,1000,False,"{'Intercept': 1.0000693621606542, 'col0': 1.0000896874290441, 'col1': 1.0002897465845655, 'col2': 1.0001906591574867, 'col3': 1.0001042455788651, 'col4': 0.9999911740008116, 'col5': 1.0001755278790967, 'col6': 1.000008515266894, 'col7': 1.0000644806902468, 'col8': 1.000263318225184, 'col9': 1.0000580804380679, 'col10': 1.0001400514947743, 'col11': 0.999995145668377, 'col12': 1.0000335880945204, 'col13': 1.0000491478295017, 'col14': 1.0004500294342102, 'col15': 1.000104092086262, 'col16': 1.000011563376204, 'col17': 1.00002613884542, 'col18': 0.9999916404626057, 'col19': 0.9999913412696775, 'col20': 1.0001308252481156, 'col21': 1.0000398551390273, 'col22': 1.000740051340277, 'col23': 1.0009997949649565}",0.984,0.6733952361727896,0.9853479853479853,0.6876620153328553
