,Components,l,pol,class,map_logp,Marg. Likelihood,Modified Prior,model,gelRub,accTrain,accTest,f1Train,f1Test
0,2,True,1,rrlyr,-3034.11710681172,-3040.31797507875,normal,RL,"{'mean1': 0.9996153063980855, 'Intercept': 0.9996946337341727, 'col0': 1.0099960236115715, 'col1': 1.004721691694457}",0.91,0.61,0.91,0.62
1,2,True,1,cep,-1126.30243271839,-1130.92561564899,normal,RL,"{'mean1': 1.0051226105215487, 'Intercept': 1.0093355435819595, 'col0': 1.00001891214417, 'col1': 0.9999948555482295}",0.92,0.60,0.92,0.53
2,2,True,1,dsct,-853.368288207384,-856.956609809147,normal,RL,"{'mean1': 0.9997826992327868, 'Intercept': 1.0048784749899473, 'col0': 1.0003730571205798, 'col1': 1.0034224459341132}",0.91,0.48,0.91,0.23
3,2,True,1,lpv,-5660.95864534589,-5668.56255582385,normal,RL,"{'mean1': 1.0010335971604805, 'Intercept': 1.0029065291771366, 'col0': 1.0214292258258606, 'col1': 1.004248026019598}",0.82,0.62,0.82,0.71
4,2,True,1,ecl,-2458.10512279464,-2464.30299437413,normal,RL,"{'mean1': 1.0159376120878125, 'Intercept': 1.0141056989867478, 'col0': 1.0968725453171713, 'col1': 1.0658511586581647}",0.93,0.43,0.92,0.32
5,2,True,1,rrlyr,-2734.99458304834,-2732.9109697302,student,RL,"{'mean1': 1.000264524854538, 'Intercept': 1.002354347757242, 'col0': 1.0137952061096491, 'col1': 1.0085233236979287}",0.92,0.61,0.92,0.62
6,2,True,1,cep,-1124.80808012442,-1121.91202245215,student,RL,"{'mean1': 0.9997542657129694, 'Intercept': 0.9995010121486905, 'col0': 0.9995082304991771, 'col1': 1.0023903249450539}",0.92,0.60,0.92,0.53
7,2,True,1,dsct,-855.973377525786,-852.063176120575,student,RL,"{'mean1': 1.0027543638795873, 'Intercept': 1.0014241716303902, 'col0': 0.9995484782313523, 'col1': 0.9994998905579875}",0.91,0.47,0.91,0.23
8,2,True,1,lpv,-5525.95441541894,-5526.00612171695,student,RL,"{'mean1': 1.0007977161000816, 'Intercept': 1.002380136175374, 'col0': 1.0000936198128891, 'col1': 0.9995794163884528}",0.83,0.64,0.84,0.73
9,2,True,1,ecl,-2297.08732122056,-2295.53501712714,student,RL,"{'mean1': 1.0001422248719325, 'Intercept': 1.0015948275497968, 'col0': 0.9999018794740816, 'col1': 0.99963274417778}",0.93,0.43,0.93,0.33
10,2,True,1,rrlyr,-2768.04160900323,-2766.88540479812,laplace,RL,"{'mean1': 1.002653678072538, 'Intercept': 1.0023891498431912, 'col0': 1.0047486324718575, 'col1': 1.0031257892379273}",0.92,0.61,0.92,0.62
11,2,True,1,cep,-1130.64974435862,-1127.74614931557,laplace,RL,"{'mean1': 0.9995343823645029, 'Intercept': 1.00946619131775, 'col0': 1.0042167803238582, 'col1': 1.018571977697844}",0.92,0.60,0.92,0.53
12,2,True,1,dsct,-861.857281478526,-857.950264093092,laplace,RL,"{'mean1': 1.0048145395249428, 'Intercept': 1.0011399899213507, 'col0': 1.0006505248422672, 'col1': 1.003999936013271}",0.91,0.47,0.91,0.23
13,2,True,1,lpv,-5351.14625615805,-5350.97117115385,laplace,RL,"{'mean1': 0.9996257334541319, 'Intercept': 1.0057552636841354, 'col0': 1.0230470544853907, 'col1': 1.0213740508574636}",0.83,0.63,0.84,0.72
14,2,True,1,ecl,-2402.13845713028,-2400.70195977702,laplace,RL,"{'mean1': 1.0045139521768993, 'Intercept': 0.9998515224486486, 'col0': 1.0011222792850407, 'col1': 1.0012564217116084}",0.93,0.43,0.93,0.33
15,2,True,2,rrlyr,-1876.63131649815,-1885.77582983582,normal,RL,"{'mean1': 1.005267555924799, 'Intercept': 1.0004085646488245, 'col0': 1.0273002794402526, 'col1': 1.0227161728888672, 'col2': 1.0170600931951406, 'col3': 1.0185495335862111}",0.94,0.63,0.94,0.62
16,2,True,2,cep,-inf,-1121.48585526581,normal,RL,"{'mean1': 1.0017278019505798, 'Intercept': 1.0128162394749416, 'col0': 1.0061153468548123, 'col1': 0.9996744869059564, 'col2': 1.0228300252812887, 'col3': 1.0067136170047704}",0.92,0.59,0.92,0.53
